epoch,global_step,split,stage,learning_rate,loss,mse,l1,reconstruction,perceptual,adversarial,warp,temporal_excess,rebound,safety_total,psnr,discriminator,ste_singular_recall
1,960,train,tcm,9.978133590480274e-05,5.243384296695392,,,0.0843238859786652,5.142876422653596,0.7398145656877507,0.08109070090674018,0.00536383301610878,0.0014038508962283605,0.0006767684034628019,20.162202953298888,0.6677286206123729,0.4403326389379799
1,960,val,tcm,9.978133590480274e-05,5.6956749081611635,,,0.0811357091491421,5.596867342789968,0.7546191265185674,0.09366962711016337,0.006307869659697947,0.0012789593384077591,0.0007586829106003279,20.220952129364015,,0.44444444179534914
2,1920,train,tcm,9.902199463797611e-05,5.158817684153716,,,0.08457942326785997,5.056538527210553,0.9278857807939251,0.07804726223015071,0.004677708445691072,0.0014836145637228816,0.0006161323126453529,20.165422889590264,0.6151322077338894,0.4378453031182289
2,1920,val,tcm,9.902199463797611e-05,5.676749459902445,,,0.07987994700670242,5.569779284795126,1.699778389930725,0.09351073751846949,0.005949300896221151,0.0014639701084637599,0.000741327112094344,20.334725856781006,,0.44444444179534914
3,2880,train,tcm,9.772732855664396e-05,5.0703611768782135,,,0.08595860966791709,4.96320806692044,1.2985114264612396,0.07625804444833192,0.0045127268283901385,0.0013230835331541604,0.0005835810465882219,20.109405182798703,0.5518286131167164,0.4320549971424043
3,2880,val,tcm,9.772732855664396e-05,5.650821713606517,,,0.07926548961549998,5.540612959861756,2.0524276167154314,0.09513681884855033,0.006496048873911301,0.0025570353996956876,0.0009053084343274046,20.402362012863158,,0.44444444179534914
4,3840,train,tcm,9.591162122200377e-05,5.055090384433667,,,0.08232426413257296,4.948575181514025,1.5861025637947024,0.07707094032763659,0.004785881517446455,0.0014423482360604826,0.0006228229855272123,20.36808513998985,0.5071440736452738,0.4312905063231786
4,3840,val,tcm,9.591162122200377e-05,5.613973450660706,,,0.08100147719184557,5.505399509270986,1.7442259947458902,0.09355487724145253,0.006449313533569996,0.0012981212267177966,0.0007747434878789742,20.237014802296958,,0.44444444179534914
5,4800,train,tcm,9.359490464632883e-05,4.9749748138089975,,,0.07987107703617463,4.870393559585015,1.644112505336913,0.07623399487444354,0.005044737801320783,0.0014117762870221086,0.0006456514199233728,20.53272357583046,0.484427923662588,0.43753193914114186
5,4800,val,tcm,9.359490464632883e-05,5.54000506401062,,,0.0800634282330672,5.433796934286753,1.5978954369823137,0.09347591586411,0.006635448458837345,0.0015456761861505205,0.0008181124696420739,20.342390155792238,,0.44444444179534914
6,5760,train,tcm,9.080273828735351e-05,4.87075813151896,,,0.08058286821469665,4.764406265318394,1.7554310655376564,0.07607613618990096,0.004896598949540021,0.0011742593774596883,0.0006070858423858756,20.532844988505044,0.46623157801417014,0.43484036582522095
6,5760,val,tcm,9.080273828735351e-05,5.5464206298192344,,,0.08337551609923442,5.432119472821554,2.098133090138435,0.09200595884273449,0.006337990508958076,0.0010994166716210784,0.0007437407311954303,20.03907952308655,,0.44444444179534914
7,6720,train,tcm,8.756592706044326e-05,4.887812815109888,,,0.08006292075539628,4.781096300234397,1.8142196075680355,0.07873676740564406,0.00511624673060093,0.0012609723987957312,0.0006377219242447533,20.548023319244386,0.45839518515082694,0.44891357452919084
7,6720,val,tcm,8.756592706044326e-05,5.497084510326386,,,0.07880845554172992,5.386532235145569,2.145386383930842,0.09392476286739111,0.006714999105315656,0.0022599418173200546,0.0008974940996267833,20.482355626424155,,0.44444444179534914
8,7680,train,tcm,8.392018147961471e-05,4.834439127147197,,,0.08251687389565632,4.723474780718486,1.9927001988825699,0.07861215988523326,0.005190596343591854,0.0014019788189987587,0.0006592575279545562,20.36531697511673,0.4324029557562123,0.4348608830710873
8,7680,val,tcm,8.392018147961471e-05,5.446131726106008,,,0.07947815625617902,5.328145555655161,2.86057377854983,0.09106683606902759,0.006367033467783282,0.0015890810689832048,0.0007956114728585817,20.414588673909506,,0.44444444179534914
