epoch,global_step,split,stage,learning_rate,loss,mse,l1,reconstruction,perceptual,adversarial,warp,temporal_excess,rebound,safety_total,psnr,discriminator,ste_singular_recall
1,960,train,lfrm,9.950674448775011e-05,0.08351017092354596,,0.08274078281053031,,,,,0.006296837392586951,0.0013970433965775496,0.0007693880920783159,20.099823556343715,,0.4443153978791088
1,960,val,lfrm,9.950674448775011e-05,0.0851508383328716,,0.08422383113453785,,,,,0.007746501445459823,0.001523569190743501,0.000927007083009812,19.86835978825887,,0.4388888840874036
2,1920,train,lfrm,9.780096816328315e-05,0.08136242930001268,,0.08064358653112626,,,,,0.005898805860700425,0.0012896219587381652,0.000718842794435659,20.382746133208276,,0.4382068423864742
2,1920,val,lfrm,9.780096816328315e-05,0.08414410930126906,,0.08322771986325582,,,,,0.007480077884974889,0.0016838185922432025,0.0009163896651443792,20.001603651046754,,0.4388888840874036
3,2880,train,lfrm,9.491828262702588e-05,0.08232705485813009,,0.08163110996441295,,,,,0.005704191463727663,0.0012552572296589608,0.0006959448814825465,20.308109803001084,,0.4404227514207984
3,2880,val,lfrm,9.491828262702588e-05,0.08472430730859438,,0.08383150088290374,,,,,0.007308436598395929,0.0016196265957167573,0.0008928063257674997,19.945489009221394,,0.4388888840874036
4,3840,train,lfrm,9.093041282022269e-05,0.08086038799762416,,0.08012859179095054,,,,,0.006075780639330712,0.0012421808830042215,0.000731796165620698,20.36999256213506,,0.4418076565489173
4,3840,val,lfrm,9.093041282022269e-05,0.0852364484841625,,0.084363714667658,,,,,0.007425642238619427,0.0013016924928942056,0.0008727334870248644,19.857827949523926,,0.4388888840874036
5,4800,train,lfrm,8.59365820969252e-05,0.07909218514105305,,0.07840169640646005,,,,,0.005649565356473356,0.0012553224468308574,0.0006904887906827639,20.50997331738472,,0.4382435941292594
5,4800,val,lfrm,8.59365820969252e-05,0.08478062668194374,,0.08391627346475919,,,,,0.007243350062829753,0.0014001792648038543,0.0008643529502781652,19.913716252644857,,0.4388888840874036
6,5760,train,lfrm,8.006104341872351e-05,0.08033542797978346,,0.07964094136841596,,,,,0.005621810142137444,0.0013230562116545784,0.0006944866469154931,20.384528187910714,,0.43822063332578787
6,5760,val,lfrm,8.006104341872351e-05,0.08440722891439995,,0.08352533305684726,,,,,0.007372833659367946,0.001446122099258229,0.000881895584219213,19.939185110727944,,0.4388888840874036
7,6720,train,lfrm,7.34499877804983e-05,0.0789748923581404,,0.07830553142509113,,,,,0.005396251146853359,0.0012973583021216731,0.0006693609560983304,20.51105533838272,,0.4397314261645079
7,6720,val,lfrm,7.34499877804983e-05,0.08377002483854691,,0.08290047608315945,,,,,0.007159529886363695,0.0015359595570460034,0.0008695489594780762,20.017672459284466,,0.4388888840874036
8,7680,train,lfrm,6.626790678955502e-05,0.0812423668219708,,0.08054273629483456,,,,,0.005619880837173241,0.0013764241301427586,0.000699630507403981,20.33388732175032,,0.440918557648547
8,7680,val,lfrm,6.626790678955502e-05,0.08351945367952188,,0.08263132441788912,,,,,0.007206751946553899,0.0016745408350163397,0.0008881292925555802,20.043720897038778,,0.4388888840874036
9,8640,train,lfrm,5.869349990187284e-05,0.07999880485779916,,0.07928513665295517,,,,,0.005844808435040249,0.0012918746874212156,0.0007136683250716184,20.446120100220046,,0.43504005584400146
9,8640,val,lfrm,5.869349990187284e-05,0.08390078811595837,,0.08304821408043304,,,,,0.006961700580238054,0.001564041835119904,0.0008525742655668485,20.00571846961975,,0.4388888840874036
