clip,w,h,frames,dur_s,before,A,Dste,AD,A_halo,Dste_halo,AD_halo,A_pump,Dste_pump,AD_pump,A_s,Dste_s,AD_s
DaaYjnxx3t_,720,1280,321,10.7,적합,적합,적합,적합,0.0,11.752,14.998,0.0,0.392,0.409,19.7,107.4,94.2
DboCVoSAJNP,720,1280,655,22.08,적합,적합,적합,적합,19.915,8.739,23.04,0.018,0.184,0.191,30.2,195.7,178.9
DYpvLJ9sGpl,720,1280,816,27.2,적합,적합,적합,적합,9.475,8.96,18.645,0.0,0.161,0.161,35.2,288.4,317.3
DbgotdBKoYZ,720,1280,675,22.5,적합,적합,적합,적합,5.926,13.117,19.685,0.0,0.75,0.761,31.0,215.5,184.0
DagzZaLg2Lc,720,1280,374,12.47,패턴,적합,적합,적합,20.775,9.873,26.222,0.024,0.253,0.235,20.9,114.6,109.6
DZDDyB6RV7P,720,1280,384,12.8,적합,적합,적합,적합,11.289,10.702,19.899,0.0,0.136,0.195,21.5,120.7,112.3
Dam2QIRyvLY,720,1280,1801,60.03,적합,적합,적합,적합,16.349,6.582,20.107,0.002,0.043,0.036,69.0,480.3,448.6
DYhL_itTzrT,720,1280,933,31.1,적합,적합,적합,적합,28.056,8.266,30.28,0.062,0.292,0.341,38.2,269.5,251.7
Db1mNoVxtjm,720,1280,1854,61.8,패턴;5초지속,패턴;5초지속,패턴;5초지속,패턴;5초지속,22.421,12.03,24.089,0.0,0.586,0.324,68.3,516.5,478.5
Dbx5uqMxPFN,720,1280,540,18.0,적합,적합,적합,적합,10.684,9.809,17.931,0.0,0.112,0.155,27.8,176.8,155.7
DaSGuQTzhLf,720,1280,2622,87.4,적합,적합,적합,적합,13.122,8.356,18.19,0.01,0.049,0.048,97.4,719.3,645.0
DbxtEezu5Ms,720,1280,454,15.13,적합,적합,적합,적합,34.651,19.051,37.816,0.018,0.0,0.06,24.9,145.2,155.3
DZJhWzpyCqR,720,1280,979,39.16,적합,적합,적합,적합,14.029,11.929,22.954,0.003,0.443,0.382,41.1,286.0,267.0
Dbs05gpxSuY,720,1280,2577,85.99,적합,패턴,패턴,패턴,18.906,5.657,21.309,0.007,0.184,0.175,94.1,683.8,638.4
DYiAwSXsa2h,720,1280,1798,59.93,적합,적합,적합,적합,13.177,8.379,19.462,0.014,0.159,0.163,69.3,501.7,473.8
Db0J4VDv7IR,720,1280,994,33.13,패턴,패턴,패턴,패턴,18.432,10.602,26.524,0.028,0.259,0.264,42.0,310.2,301.4
DY9e22pIFeQ,720,1280,1101,36.7,적합,적합,적합,적합,20.432,9.251,24.853,0.016,0.152,0.216,45.5,323.9,361.5
DZA9Wy4i_kV,720,1280,559,18.63,적합,적합,적합,적합,39.127,13.886,36.896,0.025,0.0,0.02,29.5,172.4,167.1
DZ3fRSEvFoi,720,1280,967,32.23,적합,패턴,패턴,패턴,46.041,13.386,45.148,0.101,0.062,0.25,39.6,287.5,339.5
DbRaxpFSjwC,720,1280,1336,44.53,패턴,패턴,적합,패턴,36.642,11.528,37.437,0.097,0.772,0.513,51.0,393.7,375.7
DbvE_Zohmv6,720,1280,769,25.63,적합,패턴,패턴,패턴,41.825,16.329,40.122,0.037,0.19,0.215,33.9,235.3,218.9
Dbz9U7uhBzp,720,1280,882,29.4,패턴,적합,적합,적합,50.25,19.145,49.128,0.214,0.075,0.29,36.5,261.6,248.6
DbmkyVTCfkb,720,1280,990,33.0,적합,적합,적합,적합,43.824,14.713,43.412,0.051,0.252,0.164,40.4,293.2,278.1
DasSp21RUv4,720,1280,1225,40.83,적합,적합,적합,적합,43.664,23.23,42.601,0.018,0.053,0.145,47.8,409.7,346.6
Da-l1ksRwIR,720,1280,1394,46.47,적합,적합,적합,적합,23.608,21.292,29.085,0.06,0.186,0.265,55.3,429.0,401.1
DaRGBeoPBNP,720,1280,2056,68.53,적합,적합,적합,적합,29.429,10.473,31.826,0.048,0.392,0.432,91.6,697.2,556.5
