epoch,global_step,split,stage,learning_rate,loss,mse,l1,reconstruction,perceptual,adversarial,warp,temporal_excess,rebound,safety_total,psnr,discriminator,ste_singular_recall
1,960,train,gfrm,9.987717577165459e-05,0.03379351425792265,0.03166654561246105,,,,,,0.013255241007005718,0.00801444516444166,0.0021269686634592944,15.817050248384476,,0.4443153978791088
1,960,val,gfrm,9.987717577165459e-05,0.025823126710020006,0.025253708365683754,,,,,,0.004522328296055396,0.0011718556861391486,0.0005694184144279764,16.532976881663004,,0.4388888840874036
2,1920,train,gfrm,9.945003259059738e-05,0.026106965397290575,0.02526769443041606,,,,,,0.0055728393229704425,0.002819870531284831,0.0008392709999578567,16.799532276391982,,0.4382068423864742
2,1920,val,gfrm,9.945003259059738e-05,0.02100461486261338,0.019947273291957876,,,,,,0.007422495862313857,0.00315091908724033,0.0010573414988660564,17.628109375635784,,0.4388888840874036
3,2880,train,gfrm,9.871951899544498e-05,0.024427403249622632,0.02358686317796431,,,,,,0.0059404768069801625,0.0024649232710268884,0.0008405400208175706,17.163928571840128,,0.4404227514207984
3,2880,val,gfrm,9.871951899544498e-05,0.020662521733902393,0.019562971879107258,,,,,,0.007378207313983391,0.0036172912379943984,0.001099549873106298,17.901035102208457,,0.4388888840874036
4,3840,train,gfrm,9.769016238281253e-05,0.022563748927495908,0.02175132662402272,,,,,,0.0059623671716289815,0.0021618557977579316,0.0008124223121495337,17.46689040462176,,0.4418076565489173
4,3840,val,gfrm,9.769016238281253e-05,0.019049626875979206,0.01796361927408725,,,,,,0.00794236499738569,0.0029177118492783962,0.001086007701451308,18.223390102386475,,0.4388888840874036
5,4800,train,gfrm,9.636834224471058e-05,0.020851907346999116,0.020070902997395022,,,,,,0.005624333349846703,0.0021857098898536618,0.0007810043374594974,17.819113596280417,,0.4382435941292594
5,4800,val,gfrm,9.636834224471058e-05,0.018147598928771914,0.017462898697704076,,,,,,0.005779007955667718,0.0010679934062141072,0.0006847001487282493,18.23330594698588,,0.4388888840874036
6,5760,train,gfrm,9.476225063130606e-05,0.020707839827567416,0.019930325429595542,,,,,,0.005501570086158007,0.002273573549096405,0.0007775143766701964,17.77663702170054,,0.43822063332578787
6,5760,val,gfrm,9.476225063130606e-05,0.018045606828915577,0.017103291698731482,,,,,,0.008221456209624497,0.0012016951525562073,0.0009423151525576638,18.210334539413452,,0.4388888840874036
7,6720,train,gfrm,9.28818413802584e-05,0.019597349733279163,0.018841072446957697,,,,,,0.00540984482857875,0.0021529278650318814,0.0007562772826028426,18.02390578885873,,0.4397314261645079
7,6720,val,gfrm,9.28818413802584e-05,0.017410454154014588,0.016762708872556688,,,,,,0.006111003675808509,0.0003664492371006222,0.0006477452955247524,18.330239899953206,,0.4388888840874036
8,7680,train,gfrm,9.073876842728475e-05,0.019743574197491398,0.018982102871329214,,,,,,0.005625993597467034,0.0019887196887196706,0.0007614713422299246,18.077858063578606,,0.440918557648547
8,7680,val,gfrm,9.073876842728475e-05,0.016026383653904002,0.015115843387320638,,,,,,0.008326838988189896,0.0007785641984228894,0.0009105403306117903,18.728521728515624,,0.4388888840874036
